item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
9.3,1,0.0160473,4,249.8092,1999,1,0,1,3735.138
5.92,2,0.019278215,14,48.2692,2009,1,2,2,443.4228
17.5,1,0.016760075,10,141.618,1999,1,0,1,2097.27
19.2,2,0.0,6,182.095,1998,1,2,0,732.38
8.93,1,0.0,9,53.8614,1987,0,2,1,994.7052
10.395,2,0.0,0,51.4008,2009,1,2,2,556.6088
13.65,2,0.012741089,13,57.6588,1987,0,2,1,343.5528
12.857645,1,0.12746985,13,107.7622,1985,1,2,3,4022.7637
16.2,2,0.016687114,5,96.9726,2002,1,1,1,1076.5986
19.2,2,0.09444959,5,187.8214,2007,1,1,1,4710.535
11.8,1,0.0,6,45.5402,1999,1,0,1,1516.0266
18.5,2,0.045463774,4,144.1102,1997,2,0,1,2187.153
15.1,2,0.1000135,6,145.4786,1999,1,0,1,1589.2646
17.6,2,0.047257327,13,119.6782,1997,2,0,1,2145.2075
16.35,1,0.0680243,6,196.4426,1987,0,2,1,1977.426
9.0,2,0.06908896,2,56.3614,1997,2,0,1,1547.3192
11.8,1,0.008596051,8,115.3492,2009,1,2,2,1621.8888
9.0,2,0.06919637,2,54.3614,1999,1,0,1,718.3982
12.857645,1,0.034237683,7,113.2834,1985,1,2,3,2303.668
13.35,1,0.10249212,4,230.5352,2004,2,1,1,2748.4224
18.85,2,0.13819028,13,250.8724,1987,0,2,1,3775.086
12.857645,2,0.03539992,0,144.5444,1985,1,2,3,4064.0432
14.6,1,0.025698135,9,196.5084,2004,2,1,1,1587.2672
12.857645,1,0.057556998,0,107.6938,1985,2,0,0,214.3876
13.85,2,0.025896486,5,165.021,1997,2,0,1,4078.025
13.0,1,0.0998871,9,45.906,2007,1,1,1,838.908
7.645,2,0.06669344,13,42.3112,2004,2,1,1,1065.28
11.65,3,0.019356132,7,39.1164,1987,0,2,1,308.9312
5.925,2,0.16146654,4,45.5086,1998,1,2,0,178.4344
12.857645,2,0.0722218,3,43.6454,1985,2,0,0,125.8362
19.25,1,0.17034855,4,55.7956,1998,1,2,0,163.7868
18.6,1,0.080829374,8,96.4436,2009,1,2,2,2741.7644
18.7,1,0.0,13,256.6672,2009,1,2,2,3068.0063
17.85,1,0.0,1,93.1436,2002,1,1,1,2174.5027
17.5,1,0.09790403,14,174.8738,1997,2,0,1,2085.2856
10.0,1,0.08929114,8,146.7102,1999,1,0,1,3791.0652
12.857645,2,0.05951181,6,128.0678,1985,1,2,3,2797.6917
8.85,2,0.113123894,14,122.5388,2009,1,2,2,1609.9044
12.857645,2,0.12311146,13,36.9874,1985,1,2,3,388.1614
12.857645,1,0.026480954,13,87.6198,1985,1,2,3,2180.495
13.35,1,0.1025115,4,230.6352,1997,2,0,1,3435.528
9.8,1,0.02681843,10,126.002,1987,0,2,1,2150.534
13.6,1,0.11781835,13,192.9136,1999,1,0,1,2527.3767
21.35,1,0.06910283,3,259.9278,2009,1,2,2,6768.523
12.15,2,0.04227787,3,126.5046,1987,0,2,1,373.5138
6.42,0,0.08949893,4,178.1002,1998,1,2,0,358.2004
19.6,1,0.0,8,153.3024,2002,1,1,1,2428.8384
10.0,1,0.025879577,3,265.2226,2002,1,1,1,5815.097
15.85,2,0.12163272,0,60.622,1997,2,0,1,2576.646
12.857645,2,0.2553949,4,196.8794,1985,2,0,0,780.3176
7.39,1,0.06777971,8,143.8812,1997,2,0,1,3134.5864
10.195,1,0.15980385,5,141.5154,1987,0,2,1,850.8924
9.895,2,0.028696932,3,117.0492,1987,0,2,1,810.9444
